HomeTeam,AwayTeam,HomeGoal,AwayGoal,HomeShot,AwayShot,HomeShotOnTarget,AwayShotOnTarget,GoalDifference,Result,HomeShotQuality,AwayShotQuality,HomeShotConversion,AwayShotConversion
Watford,Man City,0,4,2.0,26.0,0.0,10.0,-4,Away Wins,0.0,38.46153846153847,0.0,15.384615384615383
Aston Villa,Arsenal,1,0,8.0,7.0,3.0,0.0,1,Home Wins,37.5,0.0,12.5,0.0
Man United,West Ham,1,1,11.0,12.0,4.0,3.0,0,Draw,36.36363636363637,25.0,9.090909090909092,8.333333333333332
Liverpool,Chelsea,5,3,10.0,10.0,7.0,5.0,2,Home Wins,70.0,50.0,50.0,30.0
Arsenal,Watford,3,2,13.0,19.0,5.0,6.0,1,Home Wins,38.46153846153847,31.57894736842105,23.07692307692308,10.526315789473683
Burnley,Brighton,1,2,13.0,14.0,2.0,4.0,-1,Away Wins,15.384615384615383,28.57142857142857,7.6923076923076925,14.285714285714285
Chelsea,Wolves,2,0,11.0,5.0,3.0,1.0,2,Home Wins,27.27272727272727,20.0,18.181818181818183,0.0
Crystal Palace,Tottenham,1,1,13.0,7.0,2.0,2.0,0,Draw,15.384615384615383,28.57142857142857,7.6923076923076925,14.285714285714285
Everton,Bournemouth,1,3,13.0,13.0,5.0,7.0,-2,Away Wins,38.46153846153847,53.84615384615385,7.6923076923076925,23.07692307692308
Leicester,Man United,0,2,14.0,7.0,3.0,3.0,-2,Away Wins,21.428571428571427,42.85714285714285,0.0,28.57142857142857
Man City,Norwich,5,0,31.0,5.0,10.0,4.0,5,Home Wins,32.25806451612903,80.0,16.129032258064516,0.0
Newcastle,Liverpool,1,3,3.0,14.0,2.0,6.0,-2,Away Wins,66.66666666666666,42.85714285714285,33.33333333333333,21.428571428571427
Southampton,Sheffield United,3,1,13.0,5.0,4.0,3.0,2,Home Wins,30.76923076923077,60.0,23.07692307692308,20.0
West Ham,Aston Villa,1,1,10.0,13.0,1.0,4.0,0,Draw,10.0,30.76923076923077,10.0,7.6923076923076925
Fulham,Arsenal,0,3,5.0,13.0,2.0,6.0,-3,Away Wins,40.0,46.15384615384615,0.0,23.076923076923077
Crystal Palace,Southampton,1,0,5.0,9.0,3.0,5.0,1,Home Wins,60.0,55.55555555555556,20.0,0.0
Liverpool,Leeds,4,3,22.0,6.0,6.0,3.0,1,Home Wins,27.27272727272727,50.0,18.181818181818183,50.0
West Ham,Newcastle,0,2,15.0,15.0,3.0,2.0,-2,Away Wins,20.0,13.333333333333334,0.0,13.333333333333334
West Brom,Leicester,0,3,7.0,13.0,1.0,7.0,-3,Away Wins,14.285714285714285,53.84615384615385,0.0,23.076923076923077
Tottenham,Everton,0,1,9.0,15.0,5.0,4.0,-1,Away Wins,55.55555555555556,26.666666666666668,0.0,6.666666666666667
Brighton,Chelsea,1,3,13.0,10.0,3.0,5.0,-2,Away Wins,23.076923076923077,50.0,7.6923076923076925,30.0
Sheffield United,Wolves,0,2,9.0,11.0,2.0,4.0,-2,Away Wins,22.22222222222222,36.36363636363637,0.0,18.181818181818183
Everton,West Brom,5,2,17.0,6.0,7.0,4.0,3,Home Wins,41.17647058823529,66.66666666666666,29.411764705882355,33.33333333333333
Leeds,Fulham,4,3,10.0,14.0,7.0,6.0,1,Home Wins,70.0,42.857142857142854,40.0,21.428571428571427
Man United,Crystal Palace,1,3,13.0,14.0,4.0,5.0,-2,Away Wins,30.76923076923077,35.714285714285715,7.6923076923076925,21.428571428571427
Arsenal,West Ham,2,1,7.0,14.0,3.0,3.0,1,Home Wins,42.857142857142854,21.428571428571427,28.57142857142857,7.142857142857142
Southampton,Tottenham,2,5,14.0,9.0,7.0,6.0,-3,Away Wins,50.0,66.66666666666666,14.285714285714285,55.55555555555556
Newcastle,Brighton,0,3,6.0,13.0,0.0,6.0,-3,Away Wins,0.0,46.15384615384615,0.0,23.076923076923077
Chelsea,Liverpool,0,2,5.0,18.0,3.0,6.0,-2,Away Wins,60.0,33.33333333333333,0.0,11.11111111111111
Leicester,Burnley,4,2,14.0,16.0,6.0,5.0,2,Home Wins,42.857142857142854,31.25,28.57142857142857,12.5
Aston Villa,Sheffield United,1,0,18.0,4.0,2.0,1.0,1,Home Wins,11.11111111111111,25.0,5.555555555555555,0.0
Wolves,Man City,1,3,10.0,14.0,1.0,9.0,-2,Away Wins,10.0,64.28571428571429,10.0,21.428571428571427
Brighton,Man United,2,3,18.0,7.0,5.0,3.0,-1,Away Wins,27.77777777777778,42.857142857142854,11.11111111111111,42.857142857142854
Crystal Palace,Everton,1,2,8.0,10.0,1.0,5.0,-1,Away Wins,12.5,50.0,12.5,20.0
West Brom,Chelsea,3,3,9.0,22.0,3.0,10.0,0,Draw,33.33333333333333,45.45454545454545,33.33333333333333,13.636363636363635
Burnley,Southampton,0,1,10.0,5.0,2.0,1.0,-1,Away Wins,20.0,20.0,0.0,20.0
Sheffield United,Leeds,0,1,14.0,17.0,4.0,9.0,-1,Away Wins,28.57142857142857,52.94117647058824,0.0,5.88235294117647
Tottenham,Newcastle,1,1,23.0,6.0,12.0,1.0,0,Draw,52.17391304347826,16.666666666666664,4.3478260869565215,16.666666666666664
Man City,Leicester,2,5,16.0,7.0,5.0,7.0,-3,Away Wins,31.25,100.0,12.5,71.42857142857143
West Ham,Wolves,4,0,15.0,11.0,7.0,2.0,4,Home Wins,46.666666666666664,18.181818181818183,26.666666666666668,0.0
Fulham,Aston Villa,0,3,16.0,12.0,3.0,5.0,-3,Away Wins,18.75,41.66666666666667,0.0,25.0
Liverpool,Arsenal,3,1,21.0,4.0,8.0,3.0,2,Home Wins,38.095238095238095,75.0,14.285714285714285,25.0
Chelsea,Crystal Palace,4,0,17.0,4.0,6.0,0.0,4,Home Wins,35.294117647058826,0.0,23.52941176470588,0.0
Everton,Brighton,4,2,11.0,11.0,6.0,3.0,2,Home Wins,54.54545454545454,27.27272727272727,36.36363636363637,18.181818181818183
Leeds,Man City,1,1,12.0,23.0,7.0,2.0,0,Draw,58.333333333333336,8.695652173913043,8.333333333333332,4.3478260869565215
Newcastle,Burnley,3,1,10.0,7.0,5.0,3.0,2,Home Wins,50.0,42.857142857142854,30.0,14.285714285714285
Leicester,West Ham,0,3,4.0,14.0,0.0,6.0,-3,Away Wins,0.0,42.857142857142854,0.0,21.428571428571427
Southampton,West Brom,2,0,13.0,5.0,7.0,2.0,2,Home Wins,53.84615384615385,40.0,15.384615384615385,0.0
Arsenal,Sheffield United,2,1,6.0,6.0,5.0,2.0,1,Home Wins,83.33333333333334,33.33333333333333,33.33333333333333,16.666666666666664
Wolves,Fulham,1,0,14.0,10.0,5.0,2.0,1,Home Wins,35.714285714285715,20.0,7.142857142857142,0.0
Man United,Tottenham,1,6,5.0,22.0,2.0,8.0,-5,Away Wins,40.0,36.36363636363637,20.0,27.27272727272727
Aston Villa,Liverpool,7,2,18.0,14.0,11.0,8.0,5,Home Wins,61.111111111111114,57.14285714285714,38.88888888888889,14.285714285714285
Everton,Liverpool,2,2,11.0,22.0,5.0,8.0,0,Draw,45.45454545454545,36.36363636363637,18.181818181818183,9.090909090909092
Chelsea,Southampton,3,3,11.0,13.0,5.0,6.0,0,Draw,45.45454545454545,46.15384615384615,27.27272727272727,23.076923076923077
Man City,Arsenal,1,0,13.0,11.0,5.0,3.0,1,Home Wins,38.46153846153847,27.27272727272727,7.6923076923076925,0.0
Newcastle,Man United,1,4,7.0,28.0,4.0,14.0,-3,Away Wins,57.14285714285714,50.0,14.285714285714285,14.285714285714285
